geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8814687366,2.38368012582;Sophora;japonica;PARC DES BUTTES CHAUMONT;101752.0;Arbre;Jardin;PARIS 19E ARRDT;19-06;;I1090024;408.0;12.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;48543;Sophora
48.821579307,2.45494663547;Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002381.0;Arbre;Jardin;BOIS DE VINCENNES;12-21;;12-21;308.0;18.0;M;Inconnue;;2000-01-01T01:00:00+00:00;1;71792;Orme de Sibérie
48.8940926568,2.32633191622;Aesculus;pavia;SQUARE DES EPINETTES;134203.0;Arbre;Jardin;PARIS 17E ARRDT;17-04;;00000125;292.0;20.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;77080;Marronnier
48.84758185,2.25327790355;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136448.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030003;200.0;3.0;M;Inconnue;''Pulverulenta'';1700-01-01T00:09:21+00:00;1;141055;Catalpa
48.863856986,2.39663716021;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;158456.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;;D00000078003;180.0;16.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;164213;Arbre aux quarante écus
48.8671184424,2.25294211329;Platanus;x hispanica;ROUTE DU LAC A BAGATELLE;2002389.0;Arbre;Jardin;BOIS DE BOULOGNE;16-10;;001201001;534.0;45.0;M;Inconnue;;1872-01-01T00:09:21+00:00;1;182336;Platane
48.8217882346,2.3228497157;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;121632.0;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;310.0;15.0;M;Inconnue;''Atropunicea'';1700-01-01T00:09:21+00:00;1;200836;Hêtre
48.8428184075,2.29688266387;Acer;saccharinum;SQUARE SAINT-LAMBERT;111642.0;Arbre;Jardin;PARIS 15E ARRDT;15-04;;00000084;240.0;20.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;19278;Erable
48.8615946163,2.29103626939;Corylus;colurna;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;108256.0;Arbre;Jardin;PARIS 16E ARRDT;Canton 09;;000906007;258.0;20.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;40973;Noisetier de Byzance
48.8395251386,2.43334109188;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002371.0;Arbre;Jardin;BOIS DE VINCENNES;12-01;;12-01;607.0;30.0;M;Inconnue;;1918-01-01T00:00:00+00:00;1;65456;Platane
